model,Test,Checks,Statistic,P-value,Reject H0 ($\alpha$=0.05)
BE0049_00_BIKR_GMW_PB1_F-227_Linear_Exponential,Shapiroo,Normality,0.82,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_Exponential,D'Agostino,Normality,328.80,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_Exponential,Runs test,Autocorr.,-6.25,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_Exponential,Stoffer-Toloi,Autocorr.,39.61,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_Gamma,Shapiroo,Normality,0.82,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_Gamma,D'Agostino,Normality,311.76,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_Gamma,Runs test,Autocorr.,-7.22,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_Gamma,Stoffer-Toloi,Autocorr.,27.54,0.02,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_DoubleExponential,Shapiroo,Normality,0.82,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_DoubleExponential,D'Agostino,Normality,332.67,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_DoubleExponential,Runs test,Autocorr.,-7.15,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_DoubleExponential,Stoffer-Toloi,Autocorr.,37.67,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_Hantush,Shapiroo,Normality,0.65,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_Hantush,D'Agostino,Normality,545.11,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_Hantush,Runs test,Autocorr.,-9.32,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_Hantush,Stoffer-Toloi,Autocorr.,44.14,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_FourParam,Shapiroo,Normality,0.66,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_FourParam,D'Agostino,Normality,545.82,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_FourParam,Runs test,Autocorr.,-10.36,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_Linear_FourParam,Stoffer-Toloi,Autocorr.,44.29,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_FlexModel_Exponential,Shapiroo,Normality,0.69,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_FlexModel_Exponential,D'Agostino,Normality,545.08,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_FlexModel_Exponential,Runs test,Autocorr.,-8.87,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_FlexModel_Exponential,Stoffer-Toloi,Autocorr.,25.61,0.03,True
BE0049_00_BIKR_GMW_PB1_F-227_FlexModel_Gamma,Shapiroo,Normality,0.69,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_FlexModel_Gamma,D'Agostino,Normality,526.27,0.00,True
BE0049_00_BIKR_GMW_PB1_F-227_FlexModel_Gamma,Runs test,Autocorr.,-7.30,0.00,True
