file,model,RechargeModel,RechargeRfunc,EVP,R2,RMSE,AIC,BIC,error
BE0341_40_INST_B_GMW_PB1_F-599,BE0341_40_INST_B_GMW_PB1_F-599_FlexModel_DoubleExponential,FlexModel,DoubleExponential,85.8668508981752,0.8583164578742579,0.08016052329847691,-5036.618490316085,-4991.515906910853,
BE0341_40_INST_B_GMW_PB1_F-599,BE0341_40_INST_B_GMW_PB1_F-599_Berendrecht_DoubleExponential,Berendrecht,DoubleExponential,83.7420873213215,0.8368082150215982,0.08603001272317286,-5029.120407828929,-4988.528082764221,
BE0341_40_INST_B_GMW_PB1_F-599,BE0341_40_INST_B_GMW_PB1_F-599_Berendrecht_Gamma,Berendrecht,Gamma,79.78376954292571,0.7967471119841558,0.09601060433771584,-5019.9075143483215,-4983.825447624136,
BE0341_40_INST_B_GMW_PB1_F-599,BE0341_40_INST_B_GMW_PB1_F-599_FlexModel_Gamma,FlexModel,Gamma,79.76552288846996,0.7961476464074022,0.09615208492801704,-5021.736791664418,-4981.14446659971,
BE0341_40_INST_B_GMW_PB1_F-599,BE0341_40_INST_B_GMW_PB1_F-599_Linear_Exponential,Linear,Exponential,78.83347429669344,0.7861623498184068,0.09847884071367459,-5027.634301422358,-5005.083009719742,
BE0341_40_INST_B_GMW_PB1_F-599,BE0341_40_INST_B_GMW_PB1_F-599_Linear_DoubleExponential,Linear,DoubleExponential,78.80445681311726,0.7858383627825413,0.09855341549415075,-5023.6661418775975,-4992.094333493936,
BE0341_40_INST_B_GMW_PB1_F-599,BE0341_40_INST_B_GMW_PB1_F-599_Direct_Hantush,Direct,Hantush,78.32085418535037,0.7831478706096106,0.09917054188688644,-5007.613284992559,-4985.0619932899435,
BE0341_40_INST_B_GMW_PB1_F-599,BE0341_40_INST_B_GMW_PB1_F-599_FlexModel_Exponential,FlexModel,Exponential,77.97520785133966,0.7781115584305085,0.10031553201108656,-5022.261709987655,-4986.17964326347,
BE0341_40_INST_B_GMW_PB1_F-599,BE0341_40_INST_B_GMW_PB1_F-599_Linear_Gamma,Linear,Gamma,77.46044131875408,0.7739703112423774,0.10124733117556632,-5070.2222437046685,-5043.16069366153,
BE0341_40_INST_B_GMW_PB1_F-599,BE0341_40_INST_B_GMW_PB1_F-599_Direct_DoubleExponential,Direct,DoubleExponential,75.12955820522393,0.7505203069216737,0.10636982416067271,-5022.016344824065,-4994.954794780926,
BE0341_40_INST_B_GMW_PB1_F-599,BE0341_40_INST_B_GMW_PB1_F-599_Direct_Exponential,Direct,Exponential,75.1140546835073,0.7503648076522093,0.10640296884904395,-5026.049103813189,-5008.008070451096,
BE0341_40_BIT_GMW_PB1_F-616,BE0341_40_BIT_GMW_PB1_F-616_Linear_DoubleExponential,Linear,DoubleExponential,73.23720755126139,0.7323715688454242,0.1412659703551236,-4032.1532922494584,-4000.5814838657966,
BE0341_40_BIT_GMW_PB1_F-616,BE0341_40_BIT_GMW_PB1_F-616_Direct_Hantush,Direct,Hantush,70.52372452944422,0.7049792978691636,0.1483193040520831,-4025.6694181541934,-4003.1181264515776,
BE0341_40_BIT_GMW_PB1_F-616,BE0341_40_BIT_GMW_PB1_F-616_Berendrecht_Gamma,Berendrecht,Gamma,69.62124054879735,0.6962028476494091,0.15050928138905165,-3844.0200769541407,-3807.9380102299556,
BE0341_40_INST_B_GMW_PB1_F-599,BE0341_40_INST_B_GMW_PB1_F-599_Direct_Gamma,Direct,Gamma,68.99903577459125,0.6893945832785044,0.11868760147126006,-5056.701557088784,-5034.150265386169,
BE0341_40_INST_B_GMW_PB1_F-599,BE0341_40_INST_B_GMW_PB1_F-599_Berendrecht_Exponential,Berendrecht,Exponential,68.78251167315183,0.687120515391402,0.11912128908639669,-5027.589133046655,-4996.017324662993,
BE0341_40_BIT_GMW_PB1_F-616,BE0341_40_BIT_GMW_PB1_F-616_FlexModel_Gamma,FlexModel,Gamma,68.10966168358745,0.681064430034027,0.154213683830027,-3852.7588283606115,-3812.166503295903,
BE0280_00_INST_B_GMW_PB1_F-461,BE0280_00_INST_B_GMW_PB1_F-461_FlexModel_Hantush,FlexModel,Hantush,67.83244799311798,0.6752202261362616,0.06546412114400775,-5321.296721964753,-5279.386183247147,
BE115_00_BIKR_GMW_PB1_F-334,BE115_00_BIKR_GMW_PB1_F-334_Berendrecht_DoubleExponential,Berendrecht,DoubleExponential,67.72945841068145,0.6734606929363562,0.05463673825270996,-1948.4136808065796,-1915.9946114186623,
BE0341_40_BIT_GMW_PB1_F-616,BE0341_40_BIT_GMW_PB1_F-616_Berendrecht_DoubleExponential,Berendrecht,DoubleExponential,67.60810940923947,0.6760284583839371,0.15542642725221023,-3843.155364590617,-3802.5630395259086,
BE115_00_BIKR_GMW_PB1_F-334,BE115_00_BIKR_GMW_PB1_F-334_Berendrecht_FourParam,Berendrecht,FourParam,67.16324985695103,0.6609388867943176,0.055674461226002225,-1945.8780649789276,-1913.4589955910103,
BE0341_40_BIRK_GMW_PB1_F-497,BE0341_40_BIRK_GMW_PB1_F-497_FlexModel_Gamma,FlexModel,Gamma,67.0936583393472,0.6708318613911721,0.03472284023858648,-7415.04342111454,-7371.781956871011,
BE0280_00_INST_B_GMW_PB1_F-461,BE0280_00_INST_B_GMW_PB1_F-461_Berendrecht_DoubleExponential,Berendrecht,DoubleExponential,66.71127825543486,0.6627917120963487,0.0667049363946922,-5239.377734412449,-5197.467195694843,
BE0280_00_BUKR_GMW_PB1_F-350,BE0280_00_BUKR_GMW_PB1_F-350_Berendrecht_Hantush,Berendrecht,Hantush,66.2138953394006,0.662135085674078,0.056081335643500804,-4799.533462284406,-4763.263151580939,
BE115_00_BIKR_GMW_PB1_F-334,BE115_00_BIKR_GMW_PB1_F-334_Berendrecht_Gamma,Berendrecht,Gamma,66.17275196722304,0.6571578405448556,0.05598402797384022,-1948.695638855591,-1919.8786882885533,
BE115_00_BIKR_GMW_PB1_F-334,BE115_00_BIKR_GMW_PB1_F-334_FlexModel_DoubleExponential,FlexModel,DoubleExponential,66.09460780687462,0.6602822926853811,0.055728342136326936,-1946.5447059858188,-1910.5235177770219,
BE115_00_BIKR_GMW_PB1_F-334,BE115_00_BIKR_GMW_PB1_F-334_FlexModel_Exponential,FlexModel,Exponential,66.06488732624643,0.6599770313772663,0.055753374518217096,-1950.5444002304928,-1921.7274496634552,
BE0341_40_BIT_GMW_PB1_F-616,BE0341_40_BIT_GMW_PB1_F-616_Linear_Exponential,Linear,Exponential,65.06775828965739,0.6506610526851109,0.16139680621448982,-4033.1258302835886,-4010.574538580973,
BE0341_40_BIRK_GMW_PB1_F-497,BE0341_40_BIRK_GMW_PB1_F-497_FlexModel_FourParam,FlexModel,FourParam,64.73247145785872,0.6472868034670243,0.03594323817565114,-7409.201782303301,-7361.133488699379,
BE0280_00_BUKR_GMW_PB1_F-350,BE0280_00_BUKR_GMW_PB1_F-350_FlexModel_Gamma,FlexModel,Gamma,64.7070055316115,0.6470683211092034,0.05731814436996504,-4793.881119965448,-4753.077020424048,
BE0341_40_BIT_GMW_PB1_F-616,BE0341_40_BIT_GMW_PB1_F-616_FlexModel_DoubleExponential,FlexModel,DoubleExponential,64.239848928266,0.6423852625036783,0.16329734993564018,-3849.228155243803,-3804.1255718385714,
BE0341_40_BIT_GMW_PB1_F-616,BE0341_40_BIT_GMW_PB1_F-616_Berendrecht_Exponential,Berendrecht,Exponential,63.94702538513827,0.6394619446694076,0.16396342771211245,-3841.5122519928686,-3809.940443609207,
BE115_00_BIKR_GMW_PB1_F-334,BE115_00_BIKR_GMW_PB1_F-334_FlexModel_Hantush,FlexModel,Hantush,63.93558858178917,0.6347640351861827,0.0577834940459421,-1947.038727653941,-1914.6196582660236,
BE0280_00_INST_B_GMW_PB1_F-461,BE0280_00_INST_B_GMW_PB1_F-461_Linear_DoubleExponential,Linear,DoubleExponential,63.83291697609017,0.6348428011344385,0.06941427432163803,-5231.3056717258,-5198.708586056551,
BE0341_40_BIRK_GMW_PB1_F-497,BE0341_40_BIRK_GMW_PB1_F-497_Berendrecht_FourParam,Berendrecht,FourParam,63.19326066477301,0.6318998360543802,0.03671887373316585,-7408.990379747925,-7365.728915504395,
BE0341_40_BIRK_GMW_PB1_F-497,BE0341_40_BIRK_GMW_PB1_F-497_Berendrecht_Hantush,Berendrecht,Hantush,63.047380186510324,0.6304457283433202,0.03679132761489186,-7410.92819078076,-7372.473555897623,
BE115_00_BIKR_GMW_PB1_F-334,BE115_00_BIKR_GMW_PB1_F-334_FlexModel_FourParam,FlexModel,FourParam,62.99141614053529,0.626663157283267,0.05842079415685329,-1944.8613241981861,-1908.8401359893892,
BE0341_40_BIT_GMW_PB1_F-616,BE0341_40_BIT_GMW_PB1_F-616_Direct_Exponential,Direct,Exponential,62.56351154360207,0.6240243706847302,0.167436940729428,-3995.6791749300683,-3977.6381415679757,
BE115_00_BIKR_GMW_PB1_F-334,BE115_00_BIKR_GMW_PB1_F-334_FlexModel_Gamma,FlexModel,Gamma,62.172070720823356,0.6191383243445888,0.059006610471787915,-1945.9078732563112,-1913.488803868394,
BE0341_40_BIT_GMW_PB1_F-616,BE0341_40_BIT_GMW_PB1_F-616_Direct_DoubleExponential,Direct,DoubleExponential,61.798661988657486,0.6160564568139802,0.169201853857683,-3991.6068213204458,-3964.5452712773067,
BE115_00_BIKR_GMW_PB2_F-1354,BE115_00_BIKR_GMW_PB2_F-1354_Linear_DoubleExponential,Linear,DoubleExponential,61.23566522102618,0.6123541413149322,0.04014131301719832,-1857.728578856429,-1832.5137471102712,
BE0341_40_BIRK_GMW_PB1_F-497,BE0341_40_BIRK_GMW_PB1_F-497_Linear_FourParam,Linear,FourParam,61.19195227114771,0.6118712066561863,0.037704594751240765,-7410.040352554684,-7376.392547031939,
